Sprint Review Protocol;;;;;;;;
;;;;;;;;
;;;;;;;;
Sprint No:;;1;;;;;;
Date & Time;;;;;;;;
Group Number;;;;;;;;
Participant 1;;Hu Haakon;;;;;;
Participant 2;;Cvetkovic Nikola;;;;;;
Participant 3;;;;;;;;
Participant 4;;;;;;;;
Participant 5;;;;;;;;
Mentor;;;;;;;;
;;;;;;;;
List the Ids of the Requirements which are subject to the review;;;;;;;;
Req ID;short description [opt];Estimate [h];Real Efort [h];Delta [h];Passed;failed;remarks;
1;Login- & Registrierungsfomulare implementiert, basic styles und php implementiert;3;2,5;-0,5;;;;
2;Erstellung der Datenbank für User, Autos und Merkliste ;2;1;-1;;;;
3;;;;0;;;;
4;;;;0;;;;
5;;;;0;;;;
6;;;;0;;;;
7;;;;0;;;;
…;;;;0;;;;
…;;;;0;;;;
n;;;;0;;;;
7;;;;-1,5;0;0;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;fill out the orange fields;;;;;;;
;Transfer your estimate as well as your real effort from your planing tool to this protocol;;;;;;;
